word,meaning,pos,pos_en,pos_zh,pos_note,base_form,past,past_participle,present_participle,transitivity,plural,plural_rule,required_prepositions,usage_patterns,example_1,example_zh_1,example_2,example_zh_2,example_3,example_zh_3,example_4,example_zh_4,example_5,example_zh_5,grade,semester,lesson,tags,note,word_question_context,meaning_option_1,meaning_option_2,meaning_option_3,word_option_1,word_option_2,word_option_3,past_option_1,past_option_2,past_option_3,past_participle_option_1,past_participle_option_2,past_participle_option_3,present_participle_option_1,present_participle_option_2,present_participle_option_3,verb_change_type,verb_change_note,verb_change_option_1,verb_change_option_2,verb_change_option_3,cloze_1,cloze_answer_1,cloze_hint_1,cloze_2,cloze_answer_2,cloze_hint_2,cloze_3,cloze_answer_3,cloze_hint_3,cloze_4,cloze_answer_4,cloze_hint_4,cloze_5,cloze_answer_5,cloze_hint_5
sixty,六十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,sixties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have sixty pencils.,我有六十枝鉛筆。,The answer is sixty.,答案是六十。,Please write the number sixty.,請寫出數字六十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,sixty 作名詞時複數為 sixties。,,七十,五十,八十,seventy,fifty,eighty,,,,,,,,,,,,,,,I have s____ pencils.,sixty,s 開頭，共 5 個字母,The answer is s____.,sixty,s 開頭，共 5 個字母,Please write the number s____.,sixty,s 開頭，共 5 個字母,,,,,,
seventy,七十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,seventies,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have seventy pencils.,我有七十枝鉛筆。,The answer is seventy.,答案是七十。,Please write the number seventy.,請寫出數字七十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,seventy 作名詞時複數為 seventies。,,八十,六十,九十,eighty,sixty,ninety,,,,,,,,,,,,,,,I have s______ pencils.,seventy,s 開頭，共 7 個字母,The answer is s______.,seventy,s 開頭，共 7 個字母,Please write the number s______.,seventy,s 開頭，共 7 個字母,,,,,,
eighty,八十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,eighties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have eighty pencils.,我有八十枝鉛筆。,The answer is eighty.,答案是八十。,Please write the number eighty.,請寫出數字八十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,eighty 拼字保留 t：e-i-g-h-t-y；複數為 eighties。,,九十,七十,六十,ninety,seventy,sixty,,,,,,,,,,,,,,,I have e_____ pencils.,eighty,e 開頭，共 6 個字母,The answer is e_____.,eighty,e 開頭，共 6 個字母,Please write the number e_____.,eighty,e 開頭，共 6 個字母,,,,,,
ninety,九十,number/noun/adjective（數字／名詞／形容詞）,number/noun/adjective,數字／名詞／形容詞,可表示數字；也可當名詞使用，例如 two twos；也可放在名詞前修飾數量。,,,,,,nineties,子音 + y，去 y 加 ies,,number + plural noun; the number is...; in one's twenties/thirties,I have ninety pencils.,我有九十枝鉛筆。,The answer is ninety.,答案是九十。,Please write the number ninety.,請寫出數字九十。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,ninety 作名詞時複數為 nineties。,,八十,七十,六十,eighty,seventy,sixty,,,,,,,,,,,,,,,I have n_____ pencils.,ninety,n 開頭，共 6 個字母,The answer is n_____.,ninety,n 開頭，共 6 個字母,Please write the number n_____.,ninety,n 開頭，共 6 個字母,,,,,,
family,家庭；家人,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,families,規則變化：去 y 加 ies,,,My family is small.,我的家庭很小。,I love my family.,我愛我的家人。,This is my family photo.,這是我的家庭照片。,,,,,七年級,上學期,Lesson 1,家庭;名詞,family 指家庭時可當單數；指家人整體時仍常用單數動詞。,My f_____ is small.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My f_____ is small.,family,f 開頭，共 6 個字母,I love my f_____.,family,f 開頭，共 6 個字母,This is my f_____ photo.,family,f 開頭，共 6 個字母,,,,,,
wife,妻子,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,wives,不規則複數,,,His wife is a teacher.,他的妻子是一位老師。,My uncle and his wife are nice.,我的叔叔和他的妻子人很好。,The man loves his wife.,那位男士愛他的妻子。,,,,,七年級,上學期,Lesson 1,家庭;名詞,wife 的複數是 wives，不是 wifes。,His w___ is a teacher.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,His w___ is a teacher.,wife,w 開頭，共 4 個字母,My uncle and his w___ are nice.,wife,w 開頭，共 4 個字母,The man loves his w___.,wife,w 開頭，共 4 個字母,,,,,,
aunt,阿姨；姑姑；伯母；嬸嬸,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,aunts,規則變化：加 s,,,My aunt is a nurse.,我的阿姨是一位護士。,This is my aunt.,這是我的阿姨。,I visit my aunt on Sunday.,我星期日去拜訪我的阿姨。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My a___ is a nurse.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My a___ is a nurse.,aunt,a 開頭，共 4 個字母,This is my a___.,aunt,a 開頭，共 4 個字母,I visit my a___ on Sunday.,aunt,a 開頭，共 4 個字母,,,,,,
son,兒子,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,sons,規則變化：加 s,,,He is my son.,他是我的兒子。,Their son is young.,他們的兒子很年輕。,My son likes cats.,我的兒子喜歡貓。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,He is my s__.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,He is my s__.,son,s 開頭，共 3 個字母,Their s__ is young.,son,s 開頭，共 3 個字母,My s__ likes cats.,son,s 開頭，共 3 個字母,,,,,,
parent,父親或母親；家長,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,parents,規則變化：加 s,,,My parent signs the paper.,我的家長簽了這張紙。,Her parents are doctors.,她的父母是醫生。,A parent cares about a child.,家長關心孩子。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My p_____ signs the paper.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My p_____ signs the paper.,parent,p 開頭，共 6 個字母,Her p______ are doctors.,parents,p 開頭，共 7 個字母,A p_____ cares about a child.,parent,p 開頭，共 6 個字母,,,,,,
husband,丈夫,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,husbands,規則變化：加 s,,,Her husband is a cook.,她的丈夫是一位廚師。,My aunt and her husband live here.,我的阿姨和她的丈夫住在這裡。,The husband is kind.,這位丈夫很親切。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,Her h______ is a cook.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,Her h______ is a cook.,husband,h 開頭，共 7 個字母,My aunt and her h______ live here.,husband,h 開頭，共 7 個字母,The h______ is kind.,husband,h 開頭，共 7 個字母,,,,,,
uncle,叔叔；伯伯；舅舅；姑丈；姨丈,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,uncles,規則變化：加 s,,,My uncle is a farmer.,我的叔叔是一位農夫。,This is my uncle.,這是我的叔叔。,I play with my uncle.,我和我的叔叔一起玩。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My u____ is a farmer.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My u____ is a farmer.,uncle,u 開頭，共 5 個字母,This is my u____.,uncle,u 開頭，共 5 個字母,I play with my u____.,uncle,u 開頭，共 5 個字母,,,,,,
cousin,堂／表兄弟姊妹,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,cousins,規則變化：加 s,,,My cousin is in my school.,我的表親在我的學校。,She is my cousin.,她是我的表妹。,I have two cousins.,我有兩位堂／表兄弟姊妹。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My c_____ is in my school.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My c_____ is in my school.,cousin,c 開頭，共 6 個字母,She is my c_____.,cousin,c 開頭，共 6 個字母,I have two c______.,cousins,c 開頭，共 7 個字母,,,,,,
daughter,女兒,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,daughters,規則變化：加 s,,,She is their daughter.,她是他們的女兒。,My daughter is cute.,我的女兒很可愛。,The woman has one daughter.,那位女士有一個女兒。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,She is their d_______.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,She is their d_______.,daughter,d 開頭，共 8 個字母,My d_______ is cute.,daughter,d 開頭，共 8 個字母,The woman has one d_______.,daughter,d 開頭，共 8 個字母,,,,,,
child,小孩；孩子,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,children,不規則複數,,,The child is happy.,這個小孩很開心。,A child needs love.,孩子需要愛。,There is a child in the park.,公園裡有一個小孩。,,,,,七年級,上學期,Lesson 1,家庭;名詞,child 的複數是 children。,The c____ is happy.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,The c____ is happy.,child,c 開頭，共 5 個字母,A c____ needs love.,child,c 開頭，共 5 個字母,There is a c____ in the park.,child,c 開頭，共 5 個字母,,,,,,
grandfather,祖父；外祖父,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,grandfathers,規則變化：加 s,,,My grandfather is old.,我的爺爺年紀大了。,I love my grandfather.,我愛我的祖父。,His grandfather is a farmer.,他的祖父是一位農夫。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My g__________ is old.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My g__________ is old.,grandfather,g 開頭，共 11 個字母,I love my g__________.,grandfather,g 開頭，共 11 個字母,His g__________ is a farmer.,grandfather,g 開頭，共 11 個字母,,,,,,
grandmother,祖母；外祖母,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,grandmothers,規則變化：加 s,,,My grandmother is warm.,我的奶奶很溫暖。,Her grandmother cooks dinner.,她的祖母煮晚餐。,I visit my grandmother today.,我今天拜訪我的祖母。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My g__________ is warm.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My g__________ is warm.,grandmother,g 開頭，共 11 個字母,Her g__________ cooks dinner.,grandmother,g 開頭，共 11 個字母,I visit my g__________ today.,grandmother,g 開頭，共 11 個字母,,,,,,
grandson,孫子；外孫,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,grandsons,規則變化：加 s,,,He is my grandson.,他是我的孫子。,The grandson is young.,這個孫子很年輕。,His grandson likes animals.,他的孫子喜歡動物。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,He is my g_______.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,He is my g_______.,grandson,g 開頭，共 8 個字母,The g_______ is young.,grandson,g 開頭，共 8 個字母,His g_______ likes animals.,grandson,g 開頭，共 8 個字母,,,,,,
granddaughter,孫女；外孫女,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,granddaughters,規則變化：加 s,,,She is my granddaughter.,她是我的孫女。,Her granddaughter is a student.,她的孫女是一名學生。,The granddaughter is cute.,這個孫女很可愛。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,She is my g____________.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,She is my g____________.,granddaughter,g 開頭，共 13 個字母,Her g____________ is a student.,granddaughter,g 開頭，共 13 個字母,The g____________ is cute.,granddaughter,g 開頭，共 13 個字母,,,,,,
grandparent,祖父母；外祖父母之一,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,grandparents,規則變化：加 s,,,My grandparent is kind.,我的祖父母其中一位很親切。,My grandparents live near my home.,我的祖父母住在我家附近。,I call my grandparent every day.,我每天打電話給我的祖父母其中一位。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,My g__________ is kind.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,My g__________ is kind.,grandparent,g 開頭，共 11 個字母,My g___________ live near my home.,grandparents,g 開頭，共 12 個字母,I call my g__________ every day.,grandparent,g 開頭，共 11 個字母,,,,,,
grandchild,孫子女；外孫子女,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,grandchildren,不規則複數,,,He is her grandchild.,他是她的孫子。,They have one grandchild.,他們有一個孫子女。,The grandchild is in the classroom.,這個孫子女在教室裡。,,,,,七年級,上學期,Lesson 1,家庭;名詞,,He is her g_________.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,He is her g_________.,grandchild,g 開頭，共 10 個字母,They have one g_________.,grandchild,g 開頭，共 10 個字母,The g_________ is in the classroom.,grandchild,g 開頭，共 10 個字母,,,,,,
young,年輕的；幼小的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,My brother is young.,我的弟弟年紀小。,The young girl is cute.,那個年輕女孩很可愛。,He is young and nice.,他年輕又親切。,,,,,七年級,上學期,Lesson 1,形容詞;人物,,My brother is y____.,大的,人稱代名詞,快樂的,old,nice,sad,,,,,,,,,,,,,,,My brother is y____.,young,y 開頭，共 5 個字母,The y____ girl is cute.,young,y 開頭，共 5 個字母,He is y____ and nice.,young,y 開頭，共 5 個字母,,,,,,
our,我們的,determiner（限定詞）,determiner,限定詞,放在名詞前，限定人、事物或所有關係。,,,,,,,,,our + noun,This is our classroom.,這是我們的教室。,Our school is big.,我們的學校很大。,Our family is happy.,我們的家庭很幸福。,,,,,七年級,上學期,Lesson 1,家庭;限定詞,,This is o__ classroom.,朋友,老師,同學,father,mother,sister,,,,,,,,,,,,,,,This is o__ classroom.,our,o 開頭，共 3 個字母,o__ school is big.,our,o 開頭，共 3 個字母,o__ family is happy.,our,o 開頭，共 3 個字母,,,,,,
man,男人；男士,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,men,不規則複數,,,The man is my father.,那位男士是我的爸爸。,A man is in the park.,有一位男士在公園裡。,That man is handsome.,那位男士很英俊。,,,,,七年級,上學期,Lesson 1,人物;名詞,,The m__ is my father.,老師,學生,朋友,teacher,student,book,,,,,,,,,,,,,,,The m__ is my father.,man,m 開頭，共 3 個字母,A m__ is in the park.,man,m 開頭，共 3 個字母,That m__ is handsome.,man,m 開頭，共 3 個字母,,,,,,
handsome,英俊的；帥氣的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,My uncle is handsome.,我的叔叔很英俊。,The handsome man is a doctor.,那位帥氣的男士是醫生。,He looks handsome.,他看起來很帥。,,,,,七年級,上學期,Lesson 1,形容詞;人物,,My uncle is h_______.,大的,小的,快樂的,young,old,nice,,,,,,,,,,,,,,,My uncle is h_______.,handsome,h 開頭，共 8 個字母,The h_______ man is a doctor.,handsome,h 開頭，共 8 個字母,He looks h_______.,handsome,h 開頭，共 8 個字母,,,,,,
really,真的；非常,adverb（副詞）,adverb,副詞,用來修飾動詞、形容詞或整個句子。,,,,,,,,,be + adv.; V + adv.,I really like my family.,我真的很喜歡我的家人。,The cat is really cute.,這隻貓真的很可愛。,Are you really sad?,你真的難過嗎？,,,,,七年級,上學期,Lesson 1,副詞,,I r_____ like my family.,老師,學生,朋友,very,also,here,,,,,,,,,,,,,,,I r_____ like my family.,really,r 開頭，共 6 個字母,The cat is r_____ cute.,really,r 開頭，共 6 個字母,Are you r_____ sad?,really,r 開頭，共 6 個字母,,,,,,
classroom,教室,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,classrooms,規則變化：加 s,,,Our classroom is big.,我們的教室很大。,The students are in the classroom.,學生們在教室裡。,This is my classroom.,這是我的教室。,,,,,七年級,上學期,Lesson 1,學校;地點;名詞,,Our c________ is big.,家庭,動物,食物,teacher,student,book,,,,,,,,,,,,,,,Our c________ is big.,classroom,c 開頭，共 9 個字母,The students are in the c________.,classroom,c 開頭，共 9 個字母,This is my c________.,classroom,c 開頭，共 9 個字母,,,,,,
problem,問題；困難,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,problems,規則變化：加 s,,,I have a problem.,我有一個問題。,This problem is not hard.,這個問題不難。,Let us discuss the problem.,讓我們討論這個問題。,,,,,七年級,上學期,Lesson 1,學校;名詞,,I have a p______.,家庭,動物,食物,teacher,student,book,,,,,,,,,,,,,,,I have a p______.,problem,p 開頭，共 7 個字母,This p______ is not hard.,problem,p 開頭，共 7 個字母,Let us discuss the p______.,problem,p 開頭，共 7 個字母,,,,,,
nice,好的；親切的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,Nice to meet you.,很高興見到你。,My teacher is nice.,我的老師很親切。,Have a nice day.,祝你有美好的一天。,,,,,七年級,上學期,Lesson 1,形容詞,,n___ to meet you.,大的,小的,快樂的,young,old,sad,,,,,,,,,,,,,,,n___ to meet you.,nice,n 開頭，共 4 個字母,My teacher is n___.,nice,n 開頭，共 4 個字母,Have a n___ day.,nice,n 開頭，共 4 個字母,,,,,,
meet,遇見；見面,verb（動詞）,verb,動詞,表示動作或狀態。,meet,met,met,meeting,及物 / 不及物,,,meet at; meet in,Nice to meet you.; meet + 人; meet at/in + 地點,Nice to meet you.,很高興見到你。,I meet my cousin at school.,我在學校遇見我的表親。,We meet in the classroom.,我們在教室見面。,,,,,七年級,上學期,Lesson 1,動詞;生活,,Nice to m___ you.,看見,喜歡,製作,read,listen,play,meet,meeted,meeting,meet,meeted,meeting,met,meets,meeted,不規則變化,meet 是不規則動詞，三態為 meet / met / met。,規則變化：直接加 -ed,規則變化：字尾 e 直接加 -d,規則變化：子音 + y 改 ied,Nice to m___ you.,meet,m 開頭，共 4 個字母,I m___ my cousin at school.,meet,m 開頭，共 4 個字母,We m___ in the classroom.,meet,m 開頭，共 4 個字母,,,,,,
strict,嚴格的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be strict with + 人,My teacher is strict.,我的老師很嚴格。,The strict doctor is nice.,那位嚴格的醫生人很好。,My mom is strict with me.,我媽媽對我很嚴格。,,,,,七年級,上學期,Lesson 1,形容詞;學校,,My teacher is s_____.,家庭,動物,食物,young,old,nice,,,,,,,,,,,,,,,My teacher is s_____.,strict,s 開頭，共 6 個字母,The s_____ doctor is nice.,strict,s 開頭，共 6 個字母,My mom is s_____ with me.,strict,s 開頭，共 6 個字母,,,,,,
class,班級；課,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,classes,規則變化：加 es,,,We are in the same class.,我們在同一班。,English class is fun.,英文課很好玩。,My class has thirty students.,我的班上有三十位學生。,,,,,七年級,上學期,Lesson 1,學校;名詞,,We are in the same c____.,家庭,動物,食物,teacher,student,book,,,,,,,,,,,,,,,We are in the same c____.,class,c 開頭，共 5 個字母,English c____ is fun.,class,c 開頭，共 5 個字母,My c____ has thirty students.,class,c 開頭，共 5 個字母,,,,,,
too,也；太,adverb（副詞）,adverb,副詞,用來修飾動詞、形容詞或整個句子。,,,,,,,,,be + adv.; V + adv.,"I am a student, too.",我也是學生。,The cake is too big.,這個蛋糕太大了。,"She likes cats, too.",她也喜歡貓。,,,,,七年級,上學期,Lesson 1,副詞,too 放句尾表示「也」；放形容詞前表示「太」。,"I am a student, t__.",老師,學生,朋友,very,also,here,,,,,,,,,,,,,,,"I am a student, t__.",too,t 開頭，共 3 個字母,The cake is t__ big.,too,t 開頭，共 3 個字母,"She likes cats, t__.",too,t 開頭，共 3 個字母,,,,,,
again,再一次,adverb（副詞）,adverb,副詞,用來修飾動詞、形容詞或整個句子。,,,,,,,,,be + adv.; V + adv.,Please say it again.,請再說一次。,Do not be late again.,不要再遲到了。,Read the word again.,再讀一次這個字。,,,,,七年級,上學期,Lesson 1,副詞,,Please say it a____.,老師,學生,朋友,very,also,here,,,,,,,,,,,,,,,Please say it a____.,again,a 開頭，共 5 個字母,Do not be late a____.,again,a 開頭，共 5 個字母,Read the word a____.,again,a 開頭，共 5 個字母,,,,,,
news,新聞；消息,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,,不可數名詞,,,The news is good.,這個消息很好。,I have some news.,我有一些消息。,The news makes me sad.,這個消息讓我難過。,,,,,七年級,上學期,Lesson 1,生活;名詞,news 是不可數名詞，常用單數動詞 is。,The n___ is good.,老師,學生,朋友,teacher,student,book,,,,,,,,,,,,,,,The n___ is good.,news,n 開頭，共 4 個字母,I have some n___.,news,n 開頭，共 4 個字母,The n___ makes me sad.,news,n 開頭，共 4 個字母,,,,,,
not,不；不是,adverb（副詞）,adverb,副詞,用來修飾動詞、形容詞或整個句子。,,,,,,,,,be not; do not + V,I am not sad.,我不難過。,This is not my pencil.,這不是我的鉛筆。,The answer is not correct.,答案不正確。,,,,,七年級,上學期,Lesson 1,副詞,,I am n__ sad.,老師,學生,朋友,very,also,here,,,,,,,,,,,,,,,I am n__ sad.,not,n 開頭，共 3 個字母,This is n__ my pencil.,not,n 開頭，共 3 個字母,The answer is n__ correct.,not,n 開頭，共 3 個字母,,,,,,
sad,難過的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,I am sad today.,我今天很難過。,The girl is sad.,那個女孩很難過。,This news makes me sad.,這個消息讓我難過。,,,,,七年級,上學期,Lesson 1,情緒;形容詞,,I am s__ today.,大的,小的,快樂的,young,old,nice,,,,,,,,,,,,,,,I am s__ today.,sad,s 開頭，共 3 個字母,The girl is s__.,sad,s 開頭，共 3 個字母,This news makes me s__.,sad,s 開頭，共 3 個字母,,,,,,
girl,女孩,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,girls,規則變化：加 s,,,The girl is my sister.,那個女孩是我的姊妹。,A girl is in the classroom.,有一個女孩在教室裡。,The girl has a cat.,那個女孩有一隻貓。,,,,,七年級,上學期,Lesson 1,人物;名詞,,The g___ is my sister.,老師,學生,朋友,teacher,student,book,,,,,,,,,,,,,,,The g___ is my sister.,girl,g 開頭，共 4 個字母,A g___ is in the classroom.,girl,g 開頭，共 4 個字母,The g___ has a cat.,girl,g 開頭，共 4 個字母,,,,,,
old,老的；舊的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,My grandfather is old.,我的爺爺年紀大。,This is an old picture.,這是一張舊照片。,The old man is nice.,那位老人很親切。,,,,,七年級,上學期,Lesson 1,形容詞,old 可指年紀大，也可指東西舊。,My grandfather is o__.,大的,小的,快樂的,young,nice,sad,,,,,,,,,,,,,,,My grandfather is o__.,old,o 開頭，共 3 個字母,This is an o__ picture.,old,o 開頭，共 3 個字母,The o__ man is nice.,old,o 開頭，共 3 個字母,,,,,,
doctor,醫生,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,doctors,規則變化：加 s,,,My mother is a doctor.,我的媽媽是一位醫生。,The doctor is nice.,這位醫生人很好。,I see a doctor today.,我今天看醫生。,,,,,七年級,上學期,Lesson 1,職業;人物;名詞,,My mother is a d_____.,學生,家人,地點,teacher,student,book,,,,,,,,,,,,,,,My mother is a d_____.,doctor,d 開頭，共 6 個字母,The d_____ is nice.,doctor,d 開頭，共 6 個字母,I see a d_____ today.,doctor,d 開頭，共 6 個字母,,,,,,
thin,瘦的；薄的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,The cat is thin.,那隻貓很瘦。,This book is thin.,這本書很薄。,The thin girl is my sister.,那個瘦瘦的女孩是我的妹妹。,,,,,七年級,上學期,Lesson 1,形容詞,,The cat is t___.,大的,小的,快樂的,young,old,nice,,,,,,,,,,,,,,,The cat is t___.,thin,t 開頭，共 4 個字母,This book is t___.,thin,t 開頭，共 4 個字母,The t___ girl is my sister.,thin,t 開頭，共 4 個字母,,,,,,
cat,貓,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,cats,規則變化：加 s,,,The cat is cute.,這隻貓很可愛。,I have a cat.,我有一隻貓。,The cat has a long tail.,這隻貓有長長的尾巴。,,,,,七年級,上學期,Lesson 1,動物;名詞,,The c__ is cute.,植物,食物,文具,teacher,student,book,,,,,,,,,,,,,,,The c__ is cute.,cat,c 開頭，共 3 個字母,I have a c__.,cat,c 開頭，共 3 個字母,The c__ has a long tail.,cat,c 開頭，共 3 個字母,,,,,,
pencil,鉛筆,noun（名詞）,noun,名詞,表示人、事物、地方或概念。,,,,,,pencils,規則變化：加 s,,,This is my pencil.,這是我的鉛筆。,I have two pencils.,我有兩枝鉛筆。,The pencil is on the desk.,鉛筆在書桌上。,,,,,七年級,上學期,Lesson 1,學校;文具;名詞,,This is my p_____.,家庭,動物,食物,teacher,student,book,,,,,,,,,,,,,,,This is my p_____.,pencil,p 開頭，共 6 個字母,I have two p______.,pencils,p 開頭，共 7 個字母,The p_____ is on the desk.,pencil,p 開頭，共 6 個字母,,,,,,
beautiful,美麗的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,The picture is beautiful.,這張圖片很漂亮。,She is beautiful.,她很美麗。,What a beautiful day!,多美好的一天啊！,,,,,七年級,上學期,Lesson 1,形容詞,,The picture is b________.,大的,小的,快樂的,young,old,nice,,,,,,,,,,,,,,,The picture is b________.,beautiful,b 開頭，共 9 個字母,She is b________.,beautiful,b 開頭，共 9 個字母,What a b________ day!,beautiful,b 開頭，共 9 個字母,,,,,,
long,長的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,be + adj.; adj. + noun,The cat has a long tail.,這隻貓有長尾巴。,This is a long pencil.,這是一枝長鉛筆。,Her hair is long.,她的頭髮很長。,,,,,七年級,上學期,Lesson 1,形容詞,,The cat has a l___ tail.,大的,小的,快樂的,young,old,nice,,,,,,,,,,,,,,,The cat has a l___ tail.,long,l 開頭，共 4 個字母,This is a l___ pencil.,long,l 開頭，共 4 個字母,Her hair is l___.,long,l 開頭，共 4 個字母,,,,,,
who,誰,pronoun（代名詞）,pronoun,代名詞,用來代替名詞，避免重複。,,,,,,,,,Who is...?; Who has...?,Who is that girl?,那個女孩是誰？,Who is your doctor?,你的醫生是誰？,Who has a cat?,誰有一隻貓？,,,,,七年級,上學期,Lesson 1,疑問詞;代名詞,,w__ is that girl?,老師,學生,朋友,we,you,he,,,,,,,,,,,,,,,w__ is that girl?,who,w 開頭，共 3 個字母,w__ is your doctor?,who,w 開頭，共 3 個字母,w__ has a cat?,who,w 開頭，共 3 個字母,,,,,,
junior,年少的；初級的,adjective（形容詞）,adjective,形容詞,用來形容名詞或主詞的狀態。,,,,,,,,,junior high school,I am a junior high school student.,我是一名國中學生。,This is a junior class.,這是初級班。,Junior students read this book.,年少學生讀這本書。,,,,,七年級,上學期,Lesson 1,學校;形容詞,,I am a j_____ high school student.,家庭,動物,食物,young,old,nice,,,,,,,,,,,,,,,I am a j_____ high school student.,junior,j 開頭，共 6 個字母,This is a j_____ class.,junior,j 開頭，共 6 個字母,j_____ students read this book.,junior,j 開頭，共 6 個字母,,,,,,
